2026-04-01T13:17:59.3213623Z [NET] kind=tcp_accept packet= conn_id=90212789 uuid= ip=192.168.0.101 name="" detail=
2026-04-01T21:18:11.7794593+08:00 [BUILD] action=constructed x=406 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.7815027+08:00 [BUILD] action=placed x=405 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.833108+08:00 [BUILD] action=constructed x=405 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.8817167+08:00 [BUILD] action=placed x=404 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.8817167+08:00 [BUILD] action=constructed x=404 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.9043846+08:00 [BUILD] action=placed x=403 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:11.9745085+08:00 [BUILD] action=constructed x=403 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.0011263+08:00 [BUILD] action=placed x=402 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.0239086+08:00 [BUILD] action=constructed x=402 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.0239086+08:00 [BUILD] action=placed x=401 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.0949961+08:00 [BUILD] action=constructed x=401 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.1232695+08:00 [BUILD] action=placed x=400 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.1503074+08:00 [BUILD] action=constructed x=400 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.15082+08:00 [BUILD] action=placed x=399 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.19256+08:00 [BUILD] action=constructed x=399 y=210 block_id=257 block=传送带 team=1 rot=2
2026-04-01T21:18:12.2421058+08:00 [BUILD] action=placed x=402 y=212 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.2650596+08:00 [BUILD] action=constructed x=402 y=212 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.2665648+08:00 [BUILD] action=placed x=402 y=213 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.3080227+08:00 [BUILD] action=constructed x=402 y=213 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.3593345+08:00 [BUILD] action=placed x=402 y=214 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.3593345+08:00 [BUILD] action=constructed x=402 y=214 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.3809247+08:00 [BUILD] action=placed x=402 y=215 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.427084+08:00 [BUILD] action=constructed x=402 y=215 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.5003465+08:00 [BUILD] action=placed x=402 y=216 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.5003465+08:00 [BUILD] action=constructed x=402 y=216 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.5003465+08:00 [BUILD] action=placed x=402 y=217 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.541171+08:00 [BUILD] action=constructed x=402 y=217 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.6187014+08:00 [BUILD] action=placed x=402 y=218 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.6187014+08:00 [BUILD] action=constructed x=402 y=218 block_id=257 block=传送带 team=1 rot=1
2026-04-01T21:18:12.6202245+08:00 [BUILD] action=placed x=411 y=215 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:12.6834056+08:00 [BUILD] action=constructed x=411 y=215 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:12.7110582+08:00 [BUILD] action=placed x=412 y=215 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:12.7345099+08:00 [BUILD] action=constructed x=412 y=215 block_id=257 block=传送带 team=1 rot=0
